date,ticker,score,weight,bm_weight,active_weight,grp_Accounting,grp_Price,grp_Sellside,grp_Conditioning,grp_Factor
2018-12-21,LIN,-0.4832,0.0002,0.02,-0.0198,-0.2232,0.1465,0.1581,0.0258,-0.0762
2018-12-21,NEE,-0.1152,0.0002,0.02,-0.0198,-0.35,0.1774,-0.0948,0.186,-0.0762
2018-12-21,AMT,-0.3902,0.0093,0.02,-0.0107,-0.1683,0.3376,0.3858,0.1212,-0.0762
2018-12-21,EQIX,-0.6474,0.0001,0.02,-0.0199,-0.2891,-0.31,0.6254,0.1371,-0.0762
2018-12-21,TMUS,-0.9117,0.0001,0.02,-0.0199,-0.071,0.1305,0.3022,0.1501,-0.0762
2018-12-21,PLD,-0.0531,0.0051,0.02,-0.0149,-0.1321,-0.0354,0.4332,0.2013,-0.0762
2018-12-21,AMD,-0.4764,0.0,0.02,-0.02,0.4877,0.9503,-0.8044,0.1761,-0.0762
2018-12-21,CRM,-0.2882,0.0003,0.02,-0.0197,0.0381,0.4635,0.4363,0.0593,-0.0762
2018-12-21,NFLX,1.3173,0.0146,0.02,-0.0054,0.0968,0.0175,-0.1731,0.2134,-0.0762
2019-01-04,AAPL,0.9725,0.0893,0.02,0.0693,0.1317,-0.3017,-0.9398,0.5571,-0.0396
2019-01-04,MSFT,-0.4893,0.0408,0.02,0.0208,0.0146,0.2717,0.6167,0.5623,-0.0396
2019-01-04,GOOGL,0.7702,0.0952,0.02,0.0752,-0.089,0.1063,0.5017,0.5495,-0.0396
2019-01-04,AMZN,1.3238,0.0985,0.02,0.0785,0.3707,0.35,0.3266,0.5589,-0.0396
2019-01-04,META,-0.1097,0.001,0.02,-0.019,-0.1847,-0.0179,0.4056,0.5566,-0.0396
2019-01-04,NVDA,1.4544,0.0705,0.02,0.0505,0.4427,-0.4784,-1.1343,0.5006,-0.0396
2019-01-04,TSLA,-0.0797,0.0068,0.02,-0.0132,0.4688,0.956,0.3852,0.5623,-0.0396
2019-01-04,PLTR,-0.0076,0.0014,0.02,-0.0186,0.1912,-0.3784,0.4192,0.5224,-0.0396
2019-01-04,AVGO,-0.6338,0.012,0.02,-0.008,-0.1185,0.4099,0.2265,0.4161,-0.0396
2019-01-04,MU,-0.3484,0.0001,0.02,-0.0199,-0.3005,-0.3098,-1.0161,0.379,-0.0396
2019-01-04,GEV,-0.0782,0.0048,0.02,-0.0152,-0.1244,-0.3784,-0.1687,0.4335,-0.0396
2019-01-04,VRT,-0.0782,0.0001,0.02,-0.0199,-0.1056,-0.1891,0.6169,0.4723,-0.0396
2019-01-04,BE,2.1379,0.0602,0.02,0.0402,-0.2247,0.1322,-0.4895,0.5238,-0.0396
2019-01-04,LITE,-0.6709,0.0,0.02,-0.02,0.0045,-0.1344,-0.274,0.5397,-0.0396
2019-01-04,000660,-0.3173,0.0001,0.02,-0.0199,-0.447,-0.3657,-1.0461,0.5775,-0.0396
2019-01-04,005930,-0.6102,0.0252,0.02,0.0052,-0.2905,-0.5653,-0.6281,0.6367,-0.0396
2019-01-04,UNH,0.0254,0.0291,0.02,0.0091,-0.0632,-0.0289,0.1563,0.6105,-0.0396
2019-01-04,LLY,-0.4736,0.0154,0.02,-0.0046,0.0331,0.4762,0.4837,0.5312,-0.0396
2019-01-04,ISRG,-0.0489,0.0068,0.02,-0.0132,-0.0175,0.1853,0.2676,0.5827,-0.0396
2019-01-04,ABBV,-0.401,0.0169,0.02,-0.0031,-0.1845,0.0684,0.1061,0.5674,-0.0396
2019-01-04,REGN,4.9576,0.0655,0.02,0.0455,0.5853,0.4537,0.4701,0.5312,-0.0396
2019-01-04,JPM,-0.2347,0.0425,0.02,0.0225,-0.1148,-0.2551,-0.1133,0.6122,-0.0396
2019-01-04,V,-0.0615,0.0408,0.02,0.0208,0.1992,0.2231,-0.05,0.5623,-0.0396
2019-01-04,MA,-0.3462,0.0246,0.02,0.0046,0.2744,0.2297,0.2101,0.554,-0.0396
2019-01-04,BLK,0.6085,0.008,0.02,-0.012,-0.0937,-0.4889,-0.8229,0.6073,-0.0396
2019-01-04,SPGI,0.8149,0.0055,0.02,-0.0145,0.1944,-0.1592,-0.4043,0.5428,-0.0396
2019-01-04,GS,-0.2151,0.0084,0.02,-0.0116,-0.089,-0.7129,-0.2125,0.6073,-0.0396
2019-01-04,COST,0.151,0.0301,0.02,0.0101,0.092,-0.0172,-0.0063,0.4047,-0.0396
2019-01-04,HD,-0.2858,0.0247,0.02,0.0047,0.5901,-0.1018,0.4572,0.4825,-0.0396
2019-01-04,PG,-0.1917,0.029,0.02,0.009,-0.101,0.4036,0.1606,0.5848,-0.0396
2019-01-04,MCD,0.0263,0.0003,0.02,-0.0197,-0.1316,0.2032,0.6699,0.5632,-0.0396
2019-01-04,WMT,-0.7293,0.0255,0.02,0.0055,0.0859,-0.0117,0.2493,0.491,-0.0396
2019-01-04,CAT,-0.0005,0.0095,0.02,-0.0105,0.0032,-0.0224,-0.0771,0.5683,-0.0396
2019-01-04,HON,0.5101,0.0126,0.02,-0.0074,0.003,-0.3052,-0.6667,0.5619,-0.0396
2019-01-04,DE,-0.4139,0.0061,0.02,-0.0139,0.0419,0.2695,-0.1389,0.488,-0.0396
2019-01-04,UNP,-0.3408,0.0093,0.02,-0.0107,-0.0985,-0.0587,-0.0405,0.5775,-0.0396
2019-01-04,LMT,-0.9797,0.0002,0.02,-0.0198,0.1063,-0.4053,0.5558,0.5657,-0.0396
2019-01-04,ETN,-0.2355,0.0037,0.02,-0.0163,-0.0714,-0.3694,-0.3094,0.554,-0.0396
2019-01-04,XOM,-0.3407,0.0378,0.02,0.0178,-0.316,-0.3192,-0.6226,0.5482,-0.0396
2019-01-04,LNG,-1.0678,0.0,0.02,-0.02,0.0719,0.2063,0.3924,0.4902,-0.0396
2019-01-04,FCX,-2.387,0.0,0.02,-0.02,-0.7402,-0.4397,-0.5066,0.5783,-0.0396
2019-01-04,LIN,0.5464,0.0107,0.02,-0.0093,-0.2516,0.078,0.4177,0.4122,-0.0396
2019-01-04,NEE,0.0585,0.0002,0.02,-0.0198,-0.2272,0.0763,-0.0351,0.5763,-0.0396
2019-01-04,AMT,0.0471,0.0088,0.02,-0.0112,-0.2174,0.2927,0.5651,0.5008,-0.0396
2019-01-04,EQIX,-0.1285,0.0001,0.02,-0.0199,-0.274,-0.4369,0.7197,0.5226,-0.0396
2019-01-04,TMUS,-0.7614,0.0001,0.02,-0.0199,-0.1,0.2078,0.3595,0.5374,-0.0396
