date,ticker,Accounting,Price,Sellside,Conditioning,Factor,MacroCross,Financials,total
2020-05-07,GS,0.0008,0.001,-0.0001,0.0,0.0,-0.0,-0.0,0.0018
2020-05-07,COST,-0.0003,0.0003,0.0,0.0,-0.0,0.0,-0.0,0.0
2020-05-07,HD,-0.0002,0.0001,0.0,0.0,-0.0,-0.0,0.0,-0.0001
2020-05-07,PG,-0.0003,0.0003,0.0,0.0,-0.0,0.0,-0.0,-0.0001
2020-05-07,MCD,0.001,0.0006,-0.0,0.0,0.0,-0.0,-0.0,0.0015
2020-05-07,WMT,-0.0001,0.0004,-0.0,0.0,-0.0,-0.0,-0.0,0.0002
2020-05-07,CAT,0.0012,0.0009,-0.0006,0.0,0.0,0.0,-0.0001,0.0014
2020-05-07,HON,0.0032,0.0006,-0.0004,0.0,-0.0,-0.0001,-0.0002,0.0032
2020-05-07,DE,0.001,0.0002,-0.0001,0.0,0.0,0.0001,-0.0,0.0011
2020-05-07,UNP,0.0015,-0.0002,0.0001,0.0,-0.0,-0.0,-0.0002,0.0012
2020-05-07,LMT,-0.0006,0.0002,0.0001,0.0,-0.0,-0.0001,0.0008,0.0004
2020-05-07,ETN,0.0018,-0.0003,0.0001,0.0,-0.0,-0.0,-0.0001,0.0016
2020-05-07,XOM,0.0004,0.0024,0.0001,0.0,0.0,-0.0,-0.0001,0.0028
2020-05-07,LNG,0.0085,0.0056,0.0002,0.0,-0.0,0.0002,0.001,0.0155
2020-05-07,FCX,0.0003,-0.0049,-0.0003,0.0,0.0,-0.0001,0.0,-0.0049
2020-05-07,LIN,0.0022,-0.0006,-0.0,0.0,-0.0,-0.0001,0.0005,0.0021
2020-05-07,NEE,0.0017,-0.0012,0.0,0.0,-0.0,-0.0001,-0.0,0.0005
2020-05-07,AMT,0.0018,-0.0016,0.0001,0.0,-0.0,-0.0001,-0.0002,0.0
2020-05-07,EQIX,-0.0005,0.0004,0.0,0.0,-0.0,0.0,0.0,-0.0
2020-05-07,TMUS,0.0007,-0.0003,0.0001,0.0,-0.0,0.0,0.0004,0.0009
2020-05-07,PLD,0.0003,-0.0019,0.0002,0.0001,-0.0,-0.0,0.0001,-0.0011
2020-05-07,AMD,-0.0002,-0.001,0.0003,0.0001,-0.0,0.0004,0.0002,-0.0003
2020-05-07,CRM,-0.0017,0.0002,0.0001,0.0,-0.0,0.0,0.0002,-0.0012
2020-05-07,NFLX,-0.0005,-0.0005,0.0005,0.0001,-0.0,-0.0,0.0004,0.0
2020-05-07,TER,-0.0013,-0.0008,0.0003,0.0001,-0.0,-0.0,0.0001,-0.0016
2020-05-07,GLW,-0.0,0.0029,-0.0,0.0,0.0,0.0,0.0001,0.003
2020-05-07,JNJ,0.0022,-0.0003,0.0002,0.0,-0.0,-0.0001,-0.0002,0.0019
2020-05-07,WFC,0.0004,0.0032,0.0002,0.0,0.0,0.0,0.0003,0.0042
2020-05-07,MPC,0.0225,-0.0009,0.0037,0.0,0.0022,0.0001,0.0,0.0276
2020-05-07,LRCX,0.0035,-0.0045,-0.0005,0.0,-0.0,0.0001,0.0001,-0.0013
2020-05-07,AMAT,0.0043,-0.0047,-0.0005,0.0,-0.0,0.0001,0.0005,-0.0003
2020-05-07,PANW,-0.0001,0.0008,-0.0015,0.0,-0.0,-0.0,0.0002,-0.0007
2020-05-07,FN,-0.0002,0.0002,0.0002,0.0,-0.0,-0.0,-0.0,0.0002
2020-05-07,MPWR,0.0005,-0.0068,0.0003,0.0,-0.0,-0.0001,-0.0001,-0.0062
2020-05-07,BAC,0.001,0.003,-0.0,0.0,0.0,0.0,0.0003,0.0042
2020-05-07,CSCO,0.0009,0.0006,-0.0,0.0,0.0,-0.0,-0.0,0.0015
2020-05-07,INTC,0.0009,-0.0009,0.0002,0.0,-0.0,-0.0,-0.0,0.0001
2020-05-07,ORCL,-0.0002,0.0006,0.0,0.0,-0.0,0.0,0.0003,0.0007
2020-05-07,TSM,-0.001,-0.0013,0.0002,0.0001,-0.0,-0.0,-0.0,-0.0021
2021-01-27,AAPL,0.0153,-0.0005,0.0091,-0.0002,-0.0015,0.0003,0.0016,0.0241
2021-01-27,MSFT,0.0029,-0.001,0.0002,-0.0002,-0.0036,-0.0,0.0015,-0.0003
2021-01-27,GOOGL,0.0085,-0.0013,0.0072,-0.0001,-0.0003,0.0,0.0021,0.0162
2021-01-27,AMZN,0.0044,-0.0013,0.0009,-0.0002,-0.0031,0.0001,0.0028,0.0035
2021-01-27,META,-0.0061,-0.0006,0.0009,-0.0001,-0.0043,-0.0,0.0022,-0.0081
2021-01-27,NVDA,-0.0111,-0.0023,0.0015,-0.0001,-0.0051,0.0005,0.0026,-0.0141
2021-01-27,TSLA,-0.018,0.0012,0.0079,-0.0001,-0.0021,0.0003,-0.0141,-0.0248
2021-01-27,PLTR,-0.0119,-0.0116,0.0563,0.0006,-0.0022,-0.0047,-0.0181,0.0085
2021-01-27,AVGO,0.0011,-0.0032,0.0007,-0.0001,-0.0028,0.0001,-0.004,-0.0081
2021-01-27,MU,0.0072,-0.0044,0.0017,-0.0001,-0.0018,-0.0,-0.0011,0.0015
2021-01-27,GEV,-0.0018,0.0035,0.0014,-0.0002,-0.0038,-0.0008,0.0003,-0.0014
2021-01-27,VRT,0.018,-0.001,-0.0,-0.0002,-0.0014,-0.0001,0.0046,0.0199
2021-01-27,BE,0.0002,0.001,0.0329,-0.0001,-0.0009,-0.0011,-0.0255,0.0065
2021-01-27,LITE,0.0016,-0.0019,0.0024,-0.0002,-0.0018,0.0001,-0.0016,-0.0013
2021-01-27,000660,0.0047,-0.0024,-0.0014,-0.0001,0.0005,-0.0,-0.0033,-0.0021
2021-01-27,005930,0.0024,-0.0024,-0.0048,-0.0001,-0.0009,0.0002,-0.002,-0.0077
2021-01-27,UNH,-0.0025,-0.0005,-0.0016,-0.0002,-0.0031,0.0005,-0.0011,-0.0085
2021-01-27,LLY,0.0006,-0.0,0.0065,-0.0002,-0.0048,-0.0001,-0.0003,0.0017
2021-01-27,ISRG,-0.0035,0.0003,-0.0008,-0.0002,-0.0029,0.0002,0.0019,-0.0049
2021-01-27,ABBV,-0.0055,0.0014,0.0011,-0.0002,-0.0046,-0.0001,0.0012,-0.0068
2021-01-27,REGN,0.0022,0.0021,0.0021,-0.0002,-0.0054,0.0001,0.002,0.0029
2021-01-27,JPM,-0.0,-0.002,0.001,-0.0001,-0.0036,0.0001,-0.0016,-0.0061
2021-01-27,V,-0.002,0.0006,-0.0016,-0.0001,-0.0047,-0.0001,0.003,-0.0049
2021-01-27,MA,0.0011,0.0001,-0.0011,-0.0001,-0.0039,-0.0001,0.0025,-0.0013
2021-01-27,BLK,0.0027,0.002,-0.0009,-0.0001,-0.0035,0.0004,0.0005,0.0009
2021-01-27,SPGI,0.0031,0.0032,0.0017,-0.0002,-0.0049,-0.0001,0.0018,0.0046
2021-01-27,GS,0.0045,-0.0017,-0.0001,-0.0002,-0.0031,0.0002,-0.0016,-0.002
2021-01-27,COST,-0.0024,0.0036,0.001,-0.0002,-0.0025,-0.0002,0.001,0.0003
2021-01-27,HD,-0.0007,0.0044,0.001,-0.0002,-0.0037,-0.0001,0.0007,0.0012
2021-01-27,PG,-0.0068,0.0033,0.001,-0.0002,-0.0044,-0.0002,-0.0012,-0.0085
2021-01-27,MCD,-0.0002,0.0043,0.0004,-0.0002,-0.0035,-0.0001,0.0023,0.003
2021-01-27,WMT,0.005,0.0022,0.0011,-0.0002,-0.0033,-0.0002,0.001,0.0055
2021-01-27,CAT,0.001,-0.0008,-0.0012,-0.0002,-0.004,0.0001,0.0006,-0.0046
2021-01-27,HON,-0.0005,0.0001,0.0009,-0.0002,-0.0033,0.0001,0.0009,-0.0019
2021-01-27,DE,0.0006,-0.0019,0.002,-0.0002,-0.0018,0.0002,-0.0018,-0.0029
2021-01-27,UNP,-0.004,0.0014,0.0004,-0.0002,-0.0029,-0.0001,-0.0002,-0.0056
2021-01-27,LMT,-0.0043,0.0097,0.0011,-0.0002,-0.0036,-0.0005,-0.0002,0.0021
2021-01-27,ETN,-0.0009,0.0007,0.0017,-0.0001,-0.0033,0.0,0.0015,-0.0003
2021-01-27,XOM,-0.0144,-0.004,-0.003,-0.0005,-0.0103,-0.0001,-0.0063,-0.0388
2021-01-27,LNG,-0.0025,-0.0032,-0.0042,-0.0001,-0.0046,-0.0001,0.0005,-0.0143
2021-01-27,FCX,0.0135,-0.0054,0.0018,-0.0001,-0.0007,0.0007,-0.0053,0.0045
2021-01-27,LIN,0.0011,-0.0003,0.0016,-0.0001,-0.002,-0.0001,0.0034,0.0037
2021-01-27,NEE,-0.004,-0.0031,-0.0038,-0.0002,-0.0036,-0.0001,0.0024,-0.0124
2021-01-27,AMT,-0.0002,0.0041,0.0009,-0.0002,-0.0034,-0.0001,0.0029,0.004
2021-01-27,EQIX,0.0004,0.0061,-0.0017,-0.0002,-0.0027,-0.0001,0.0035,0.0053
2021-01-27,TMUS,-0.0092,0.0024,0.0013,-0.0006,-0.0053,-0.0001,0.0018,-0.0096
2021-01-27,PLD,-0.0014,0.0048,-0.0018,-0.0002,-0.0029,0.0001,0.0019,0.0006
2021-01-27,AMD,-0.0087,-0.0031,0.0032,-0.0001,-0.0029,0.0004,0.0058,-0.0055
2021-01-27,CRM,0.0049,-0.0066,0.001,-0.0001,-0.0057,-0.0004,-0.0021,-0.009
2021-01-27,NFLX,0.0039,-0.0026,0.0007,-0.0002,-0.001,0.0001,0.0031,0.004
2021-01-27,TER,0.0026,-0.0038,0.0029,-0.0001,-0.0024,0.0002,0.0007,-0.0
2021-01-27,GLW,0.0105,-0.0025,0.0001,-0.0001,-0.0009,-0.0001,0.0002,0.0074
